test_fold,n_train,n_test,accuracy,precision,recall,f1,auc,threshold,model_path
1,28132,3150,0.9387301587301587,0.7163323782234957,0.7267441860465116,0.7215007215007215,0.9174774983838618,0.5,/content/miniresnet_siren_training/results/models/miniresnet_siren_fold1.keras
2,28138,3144,0.90235368956743,0.5594989561586639,0.7362637362637363,0.6358244365361803,0.9030931298916911,0.5,/content/miniresnet_siren_training/results/models/miniresnet_siren_fold2.keras
3,27905,3377,0.9244891915901687,0.698905109489051,0.8097251585623678,0.7502448579823702,0.9440270473328325,0.5,/content/miniresnet_siren_training/results/models/miniresnet_siren_fold3.keras
4,27784,3498,0.9082332761578045,0.773037542662116,0.7067082683307332,0.7383863080684596,0.9301777881405769,0.5,/content/miniresnet_siren_training/results/models/miniresnet_siren_fold4.keras
5,27982,3300,0.9590909090909091,0.7035928143712575,0.8671586715867159,0.7768595041322314,0.9662499893404348,0.5,/content/miniresnet_siren_training/results/models/miniresnet_siren_fold5.keras
6,28332,2950,0.9040677966101694,0.514792899408284,0.5938566552901023,0.5515055467511886,0.919657135957436,0.5,/content/miniresnet_siren_training/results/models/miniresnet_siren_fold6.keras
7,28236,3046,0.8992120814182535,0.4801223241590214,0.5340136054421769,0.5056360708534622,0.8842573366555924,0.5,/content/miniresnet_siren_training/results/models/miniresnet_siren_fold7.keras
8,28419,2863,0.9409710094306671,0.6804878048780488,0.8801261829652997,0.7675378266850069,0.9696833778971654,0.5,/content/miniresnet_siren_training/results/models/miniresnet_siren_fold8.keras
9,28336,2946,0.9293957909029192,0.623608017817372,0.877742946708464,0.7291666666666666,0.9710386354388297,0.5,/content/miniresnet_siren_training/results/models/miniresnet_siren_fold9.keras
10,28274,3008,0.8896276595744681,0.473015873015873,0.473015873015873,0.473015873015873,0.8013533028015019,0.5,/content/miniresnet_siren_training/results/models/miniresnet_siren_fold10.keras
