fold,backend,threshold,n_test,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
1,float32,0.5,3150,0.9387301587301587,0.7163323782234957,0.7267441860465116,0.7215007215007215,0.9174774983838618,2707,99,94,250
1,int8,0.5,3150,0.9352380952380952,0.6944444444444444,0.7267441860465116,0.7102272727272727,0.9204466342886506,2696,110,94,250
1,float32,0.8,3150,0.9434920634920635,0.8007246376811594,0.6424418604651163,0.7129032258064516,0.9174774983838618,2751,55,123,221
1,int8,0.8,3150,0.9438095238095238,0.7950530035335689,0.6540697674418605,0.7177033492822966,0.9204466342886506,2748,58,119,225
2,float32,0.5,3144,0.90235368956743,0.5594989561586639,0.7362637362637363,0.6358244365361803,0.9030931298916911,2569,211,96,268
2,int8,0.5,3144,0.8975826972010178,0.5421686746987951,0.7417582417582418,0.6264501160092807,0.905268697130208,2552,228,94,270
2,float32,0.8,3144,0.9271628498727735,0.7454545454545455,0.5631868131868132,0.6416275430359938,0.9030931298916911,2710,70,159,205
2,int8,0.8,3144,0.9277989821882952,0.7437722419928826,0.5741758241758241,0.648062015503876,0.905268697130208,2708,72,155,209
3,float32,0.5,3377,0.9244891915901687,0.698905109489051,0.8097251585623678,0.7502448579823702,0.9440270473328325,2739,165,90,383
3,int8,0.5,3377,0.9236008291382884,0.6916221033868093,0.8202959830866807,0.7504835589941973,0.9437230997268475,2731,173,85,388
3,float32,0.8,3377,0.936334024281907,0.7945205479452054,0.7357293868921776,0.7639956092206367,0.9440270473328325,2814,90,125,348
3,int8,0.8,3377,0.9360379034646136,0.7927107061503417,0.7357293868921776,0.7631578947368421,0.9437230997268475,2813,91,125,348
4,float32,0.5,3498,0.9082332761578045,0.773037542662116,0.7067082683307332,0.7383863080684596,0.9301777881405769,2724,133,188,453
4,int8,0.5,3498,0.9073756432246999,0.7568881685575365,0.7285491419656787,0.7424483306836248,0.9333194818867308,2707,150,174,467
4,float32,0.8,3498,0.9033733562035449,0.8598574821852731,0.5647425897035881,0.6817325800376648,0.9301777881405769,2798,59,279,362
4,int8,0.8,3498,0.9050886220697542,0.8551724137931035,0.5803432137285491,0.6914498141263941,0.9333194818867308,2794,63,269,372
5,float32,0.5,3300,0.9590909090909091,0.7035928143712575,0.8671586715867159,0.7768595041322314,0.9662499893404348,2930,99,36,235
5,int8,0.5,3300,0.9557575757575758,0.6780626780626781,0.8782287822878229,0.7652733118971061,0.9661379116267228,2916,113,33,238
5,float32,0.8,3300,0.9706060606060606,0.875,0.7490774907749077,0.8071570576540755,0.9662499893404348,3000,29,68,203
5,int8,0.8,3300,0.9690909090909091,0.8565400843881856,0.7490774907749077,0.7992125984251969,0.9661379116267228,2995,34,68,203
6,float32,0.5,2950,0.9040677966101694,0.514792899408284,0.5938566552901023,0.5515055467511886,0.919657135957436,2493,164,119,174
6,int8,0.5,2950,0.9003389830508475,0.49859154929577465,0.6040955631399317,0.5462962962962963,0.9193520624893224,2479,178,116,177
6,float32,0.8,2950,0.9298305084745763,0.7263157894736842,0.4709897610921502,0.5714285714285714,0.919657135957436,2605,52,155,138
6,int8,0.8,2950,0.9271186440677966,0.695,0.47440273037542663,0.563894523326572,0.9193520624893224,2596,61,154,139
7,float32,0.5,3046,0.8992120814182535,0.4801223241590214,0.5340136054421769,0.5056360708534622,0.8842573366555924,2582,170,137,157
7,int8,0.5,3046,0.8988837820091924,0.48011363636363635,0.5748299319727891,0.5232198142414861,0.8837938518430628,2569,183,125,169
7,float32,0.8,3046,0.9218647406434668,0.6609195402298851,0.391156462585034,0.49145299145299143,0.8842573366555924,2693,59,179,115
7,int8,0.8,3046,0.9221930400525279,0.659217877094972,0.4013605442176871,0.4989429175475687,0.8837938518430628,2691,61,176,118
8,float32,0.5,2863,0.9409710094306671,0.6804878048780488,0.8801261829652997,0.7675378266850069,0.9696833778971654,2415,131,38,279
8,int8,0.5,2863,0.9381767376877401,0.6643192488262911,0.8927444794952681,0.7617765814266487,0.9701901417699813,2403,143,34,283
8,float32,0.8,2863,0.9577366398882291,0.8081761006289309,0.8107255520504731,0.8094488188976378,0.9696833778971654,2485,61,60,257
8,int8,0.8,2863,0.9549423681453021,0.7883435582822086,0.8107255520504731,0.7993779160186625,0.9701901417699813,2477,69,60,257
9,float32,0.5,2946,0.9293957909029192,0.623608017817372,0.877742946708464,0.7291666666666666,0.9710386354388297,2458,169,39,280
9,int8,0.5,2946,0.9266802443991853,0.6117136659436009,0.8840125391849529,0.7230769230769231,0.9713644060414337,2448,179,37,282
9,float32,0.8,2946,0.9555329260013578,0.7974683544303798,0.7899686520376176,0.7937007874015748,0.9710386354388297,2563,64,67,252
9,int8,0.8,2946,0.9545145960624576,0.7899686520376176,0.7899686520376176,0.7899686520376176,0.9713644060414337,2560,67,67,252
10,float32,0.5,3008,0.8896276595744681,0.473015873015873,0.473015873015873,0.473015873015873,0.8013533028015019,2527,166,166,149
10,int8,0.5,3008,0.885970744680851,0.4583333333333333,0.4888888888888889,0.4731182795698925,0.8011747092697704,2511,182,161,154
10,float32,0.8,3008,0.9128989361702128,0.6687898089171974,0.3333333333333333,0.4449152542372881,0.8013533028015019,2641,52,210,105
10,int8,0.8,3008,0.9132313829787234,0.66875,0.3396825396825397,0.45052631578947366,0.8011747092697704,2640,53,208,107
