fold,model_float32,model_int8,representative_n,representative_siren,representative_non_siren,input_scale,input_zero_point,output_scale,output_zero_point
1,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/models/miniresnet_siren_fold1.keras,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/results/quantization_10fold/tflite_int8_models/miniresnet_siren_fold1_fully_int8.tflite,500,250,250,0.3137255012989044,127,0.00390625,-128
2,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/models/miniresnet_siren_fold2.keras,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/results/quantization_10fold/tflite_int8_models/miniresnet_siren_fold2_fully_int8.tflite,500,250,250,0.3137255012989044,127,0.00390625,-128
3,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/models/miniresnet_siren_fold3.keras,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/results/quantization_10fold/tflite_int8_models/miniresnet_siren_fold3_fully_int8.tflite,500,250,250,0.3137255012989044,127,0.00390625,-128
4,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/models/miniresnet_siren_fold4.keras,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/results/quantization_10fold/tflite_int8_models/miniresnet_siren_fold4_fully_int8.tflite,500,250,250,0.3137255012989044,127,0.00390625,-128
5,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/models/miniresnet_siren_fold5.keras,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/results/quantization_10fold/tflite_int8_models/miniresnet_siren_fold5_fully_int8.tflite,500,250,250,0.3137255012989044,127,0.00390625,-128
6,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/models/miniresnet_siren_fold6.keras,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/results/quantization_10fold/tflite_int8_models/miniresnet_siren_fold6_fully_int8.tflite,500,250,250,0.3137255012989044,127,0.00390625,-128
7,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/models/miniresnet_siren_fold7.keras,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/results/quantization_10fold/tflite_int8_models/miniresnet_siren_fold7_fully_int8.tflite,500,250,250,0.3137255012989044,127,0.00390625,-128
8,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/models/miniresnet_siren_fold8.keras,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/results/quantization_10fold/tflite_int8_models/miniresnet_siren_fold8_fully_int8.tflite,500,250,250,0.3137255012989044,127,0.00390625,-128
9,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/models/miniresnet_siren_fold9.keras,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/results/quantization_10fold/tflite_int8_models/miniresnet_siren_fold9_fully_int8.tflite,500,250,250,0.3137255012989044,127,0.00390625,-128
10,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/models/miniresnet_siren_fold10.keras,/content/drive/MyDrive/Colab Notebooks/TFM/Versiones_finales/miniresnet_siren/siren_training_persistent_state/results/quantization_10fold/tflite_int8_models/miniresnet_siren_fold10_fully_int8.tflite,500,250,250,0.3137255012989044,127,0.00390625,-128
