threshold,accuracy,precision,recall,f1,auc,specificity,fpr,tn,fp,fn,tp
0.01,0.5466402403938367,0.1997951402720082,0.96695125309832,0.33116393133371064,0.9269969473643835,0.49144696394343784,0.5085530360565621,13589,14062,120,3511
0.02,0.6396330157918292,0.23746049196097294,0.9518039107683833,0.38009348364036294,0.9269969473643835,0.5986401938447072,0.40135980615529276,16553,11098,175,3456
0.03,0.6786330797263602,0.25787965616045844,0.9418892866978794,0.40490143846563664,0.9269969473643835,0.6440635058406567,0.35593649415934325,17809,9842,211,3420
0.04,0.7136372354708779,0.2797121826151683,0.9314238501790141,0.4302251621931052,0.9269969473643835,0.6850385157860476,0.3149614842139525,18942,8709,249,3382
0.05,0.7335208746243846,0.2941279425921064,0.92564031947122,0.4464072253951388,0.9269969473643835,0.7082926476438465,0.29170735235615347,19585,8066,270,3361
0.06,0.7587110798542293,0.31455354606571345,0.9148994767281741,0.4681510710259301,0.9269969473643835,0.7382011500488228,0.2617988499511772,20412,7239,309,3322
0.07,0.7728725784796369,0.32771275540567346,0.9099421646929221,0.48187850944359367,0.9269969473643835,0.7548732414740877,0.24512675852591226,20873,6778,327,3304
0.08,0.7884726040534493,0.34343540268456374,0.9019553841916828,0.4974557606136554,0.9269969473643835,0.7735705761093631,0.22642942389063686,21390,6261,356,3275
0.09,0.8042644332203823,0.3610305598929288,0.8914899476728174,0.5139318885448917,0.9269969473643835,0.7928103866044628,0.20718961339553724,21922,5729,394,3237
0.1,0.8112972316348059,0.3696948841477403,0.8876342605342881,0.521985585877399,0.9269969473643835,0.8012730100177209,0.1987269899822791,22156,5495,408,3223
0.11,0.8218783965219615,0.3836749370729953,0.8815753236023134,0.5346584265909471,0.9269969473643835,0.8140392752522513,0.18596072474774872,22509,5142,430,3201
0.12,0.8255546320567738,0.3887128230131643,0.8782704489121455,0.5389100126742712,0.9269969473643835,0.8186322375320965,0.1813677624679035,22636,5015,442,3189
