fold,condition,snr_db,n_samples,accuracy,precision,recall,f1,auc,tn,fp,fn,tp
1,clean,,3150,0.9438095238095238,0.7950530035335689,0.6540697674418605,0.7177033492822966,0.9204466342886506,2748,58,119,225
1,20_dB,20.0,3150,0.9326984126984127,0.7156862745098039,0.6366279069767442,0.6738461538461539,0.9342102264251022,2719,87,125,219
1,10_dB,10.0,3150,0.9092063492063492,0.6394230769230769,0.3866279069767442,0.48188405797101447,0.897670481857813,2731,75,211,133
1,5_dB,5.0,3150,0.9019047619047619,0.6174496644295302,0.26744186046511625,0.37322515212981744,0.888285484592816,2749,57,252,92
1,0_dB,0.0,3150,0.8952380952380953,0.6590909090909091,0.08430232558139535,0.14948453608247422,0.849054766364435,2791,15,315,29
2,clean,,3144,0.9277989821882952,0.7437722419928826,0.5741758241758241,0.648062015503876,0.905268697130208,2708,72,155,209
2,20_dB,20.0,3144,0.9265267175572519,0.7472118959107806,0.5521978021978022,0.6350710900473934,0.9005084394023244,2712,68,163,201
2,10_dB,10.0,3144,0.9157124681933843,0.7828571428571428,0.37637362637362637,0.5083487940630798,0.8789597991936122,2742,38,227,137
2,5_dB,5.0,3144,0.9083969465648855,0.8653846153846154,0.24725274725274726,0.38461538461538464,0.8760825954620919,2766,14,274,90
2,0_dB,0.0,3144,0.8883587786259542,0.782608695652174,0.04945054945054945,0.09302325581395349,0.8554925290536801,2775,5,346,18
3,clean,,3377,0.9360379034646136,0.7927107061503417,0.7357293868921776,0.7631578947368421,0.9437230997268475,2813,91,125,348
3,20_dB,20.0,3377,0.9159016878886586,0.6909090909090909,0.7230443974630021,0.7066115702479339,0.927960413281382,2751,153,131,342
3,10_dB,10.0,3377,0.9203435001480604,0.7615384615384615,0.627906976744186,0.6882966396292005,0.924982818770057,2811,93,176,297
3,5_dB,5.0,3377,0.9164939295232455,0.8422939068100358,0.49682875264270615,0.625,0.913583145504633,2860,44,238,235
3,0_dB,0.0,3377,0.8919159016878887,0.9655172413793104,0.23678646934460887,0.38030560271646857,0.9048986161829713,2900,4,361,112
4,clean,,3498,0.9050886220697542,0.8551724137931035,0.5803432137285491,0.6914498141263941,0.9333194818867308,2794,63,269,372
4,20_dB,20.0,3498,0.9208118925100057,0.825,0.7207488299531981,0.7693588676103247,0.9580667020870545,2759,98,179,462
4,10_dB,10.0,3498,0.8987993138936535,0.8596491228070176,0.5351014040561622,0.6596153846153846,0.9537624697147494,2801,56,298,343
4,5_dB,5.0,3498,0.87221269296741,0.9008264462809917,0.34009360374414976,0.49377123442808607,0.9368543310160828,2833,24,423,218
4,0_dB,0.0,3498,0.8307604345340195,0.9016393442622951,0.08580343213728549,0.15669515669515668,0.9000607206647384,2851,6,586,55
5,clean,,3300,0.9690909090909091,0.8565400843881856,0.7490774907749077,0.7992125984251969,0.9661379116267228,2995,34,68,203
5,20_dB,20.0,3300,0.9651515151515152,0.8023255813953488,0.7638376383763837,0.782608695652174,0.9712551120228932,2978,51,64,207
5,10_dB,10.0,3300,0.9584848484848485,0.8681318681318682,0.5830258302583026,0.6975717439293598,0.9510445764741569,3005,24,113,158
5,5_dB,5.0,3300,0.9509090909090909,0.8657718120805369,0.47601476014760147,0.6142857142857143,0.9404501869383171,3009,20,142,129
5,0_dB,0.0,3300,0.936060606060606,0.9411764705882353,0.23616236162361623,0.3775811209439528,0.9155128956373749,3025,4,207,64
6,clean,,2950,0.9271186440677966,0.695,0.47440273037542663,0.563894523326572,0.9193520624893224,2596,61,154,139
6,20_dB,20.0,2950,0.931864406779661,0.6755725190839694,0.6040955631399317,0.6378378378378379,0.9291086331295658,2572,85,116,177
6,10_dB,10.0,2950,0.9403389830508475,0.7799043062200957,0.5563139931740614,0.649402390438247,0.922914036077025,2611,46,130,163
6,5_dB,5.0,2950,0.9261016949152543,0.8640776699029126,0.3037542662116041,0.4494949494949495,0.9119249686256022,2643,14,204,89
6,0_dB,0.0,2950,0.9057627118644068,0.8947368421052632,0.05802047781569966,0.10897435897435898,0.8934503616565682,2655,2,276,17
